model,fs_method,rmse_train,rmse_test,rmse_diff_pct,mae_train,mae_test,mae_diff_pct,r2_train,r2_test,r2_diff_pct,num_feat,cv_r2_mean
CatBoost_f_regression,f_regression,1.4313847523241239,1.5329376991250596,7.094734426648413,0.8678584407139602,0.9341395355544272,7.637316379148143,0.9031876034470323,0.861891444244734,4.572268158319576,10,0.7947628478717684
Random Forest_none,none,1.6167075864678149,1.535487679510004,-5.023784612482716,0.8854985435916253,0.9005792180404643,1.7030716264841081,0.876495963958121,0.8614315859972361,1.7187047722223927,16,0.7945046977203575
XGBoost_llarsic,llarsic,0.9983689350549405,1.5305974932874233,53.309807581622536,0.6442554684676646,0.8900442757311039,38.15082980173036,0.9529022330759513,0.8623127995884265,9.50668708111888,10,0.7935573899328061
Decision Tree_mutual_info,mutual_info,1.703777571277374,1.6971609299763515,-0.3883512385986961,0.9496947211326868,0.9868227830489736,3.9094733381275115,0.862834784078827,0.8307153324952528,3.722549458627277,10,0.7911437754830992
Random Forest_llarsic,llarsic,1.6756197948701441,1.428366597330563,-14.755924840261422,0.912101296222154,0.8282353734012312,-9.194803600026475,0.8673310896150022,0.8800912308014577,-1.4711961025309945,10,0.7894710928950662
Decision Tree_none,none,1.620467016208848,1.8415294345620883,13.641895585781521,0.914346848744957,1.0100470591303925,10.466510659143708,0.8759209130480637,0.8006900850284568,8.588769476666076,16,0.7854336396773299
Random Forest_ga,ga,1.7231479749638996,1.4734968407940152,-14.488084470813636,0.9273431028310309,0.858315293047032,-7.443610630549577,0.8596981667427555,0.8723943241201478,-1.4768156858465662,10,0.7841588646458988
Decision Tree_ga,ga,1.7422227510716815,1.630294952692518,-6.424425252759108,0.9584191195017074,0.9507961902401489,-0.7953648989725646,0.8565747685892549,0.8437917589802464,1.4923401993338636,10,0.782888670229766
Ridge_ga,ga,2.0724223119823812,1.6581348996782568,-19.99049179835536,1.2784554471758107,1.0716521270328725,-16.17602870712311,0.7970567007502917,0.838411185582752,-5.1883993690200665,10,0.7797241037486645
Linear Regression_ga,ga,2.072296453004029,1.656519436241957,-20.06358772459201,1.2786566796935197,1.071694668716553,-16.18589370108115,0.7970813496459965,0.8387258929807309,-5.224628998436571,10,0.779683955870601
XGBoost_none,none,0.9092475947771562,1.4477439693427396,59.22439362598053,0.6049998283749158,0.8323202242734099,37.57362981558147,0.9609354775499642,0.8768157728484156,8.75393891336214,16,0.7795625513387023
Linear Regression_llarsic,llarsic,2.0671189558979255,1.631891960099627,-21.054762937396728,1.2796282887275856,1.058422208864371,-17.286745050249984,0.7980940409357795,0.8434855715586425,-5.687491485294209,10,0.7775090808505081
Ridge_llarsic,llarsic,2.067223527082131,1.632941853637352,-21.00796879270062,1.278801234880583,1.05847616918291,-17.22903135280811,0.7980736124266006,0.8432841166209925,-5.664954145887128,10,0.7774347796490502
Ridge_mutual_info,mutual_info,2.074318239975944,1.6461709385058076,-20.640386475852495,1.2816905645100418,1.0637645459001437,-17.00301341402211,0.7966852109444705,0.8407346006781874,-5.529083398133661,10,0.7768995733483769
Linear Regression_mutual_info,mutual_info,2.0741175492755555,1.6417389755577156,-20.846387123471395,1.2816459027609821,1.0625008576338282,-17.098720064181638,0.7967245505335082,0.8415910222635145,-5.63136553278827,10,0.7767904344596672
KNN_ga,ga,1.755004577851341,1.583821419949323,-9.754000648340085,0.9387150415721844,0.9272672672672673,-1.2195153798477691,0.8544625688291678,0.8525706338398418,0.22141812389962082,10,0.7738271727714883
KNN_f_regression,f_regression,1.7047285844043505,1.5376204266907278,-9.802625429197688,0.9127664399092971,0.8410510510510508,-7.856926561122549,0.8626816158141399,0.8610463837706717,0.18955220715177185,10,0.7736286417478706
Linear Regression_f_regression,f_regression,2.0863661526636554,1.6331916660248094,-21.72075529792697,1.270896425407035,1.0621267344131906,-16.42696342677814,0.7943165942657021,0.8432361632128512,-6.158699100624015,10,0.7713707274680777
Ridge_f_regression,f_regression,2.0866431286590785,1.6385755901041301,-21.47312745533474,1.2686302696529392,1.0632961822178133,-16.185494887434732,0.79426197954962,0.8422008949444063,-6.035655316394438,10,0.771333200472584
KNN_mutual_info,mutual_info,1.6974282564559442,1.5169201187427923,-10.634213082444752,0.8806349206349207,0.8351951951951955,-5.159882304799363,0.8638552017567155,0.8647625426603447,-0.10503391098231032,10,0.7706282827962696
KNN_llarsic,llarsic,1.7744470712498501,1.549701059357376,-12.665692628080027,0.9472033257747544,0.8727327327327328,-7.862154937126012,0.8512200881666779,0.858854370856434,-0.8968635486738189,10,0.7694982768048104
Ridge_none,none,2.0606261506190275,1.680465728024248,-18.448781817147005,1.2857333794803627,1.1017059764650547,-14.313029898133609,0.7993604191989956,0.8340295033560656,-4.337102929340738,16,0.7661762630523178
Linear Regression_none,none,2.060411061651319,1.6766411451919059,-18.625890901199114,1.2850222374709677,1.1008153487897758,-14.334918362481147,0.7994023026896193,0.834784110326461,-4.426032739435239,16,0.7658927424939067
XGBoost_f_regression,f_regression,0.9999628784053377,1.4330780898514832,43.313128997032734,0.6395615134884476,0.7907188316470376,23.634523805866937,0.9527517253886375,0.8792988837696595,7.709546953485267,10,0.7561981049792831
Polynomial Regression_ga,ga,1.5889574321834594,1.5505465327919832,-2.4173649094358716,0.9791462797963905,1.0274762375676258,4.93592824366196,0.8806993738110144,0.8587003186513165,2.497907437415596,10,0.7461517808530667
KNN_none,none,1.8877501836466335,1.8036931859684753,-4.4527606675043385,1.1635827664399094,1.2072072072072073,3.7491480645395723,0.8316135115640649,0.8087960309292166,2.7437602104292593,16,0.7352617070940823
Polynomial Regression_llarsic,llarsic,1.6053662411415792,1.5994512514253547,-0.3684511088272508,0.9724429618359222,1.0581366031597554,8.812202328252559,0.8782226694060116,0.8496464834127404,3.2538656753871713,10,0.5634124935673226
Polynomial Regression_mutual_info,mutual_info,1.5241335057370133,1.4440336827418465,-5.255433509837682,0.9315277374272328,0.9453999270145521,1.489186959223844,0.8902349148182258,0.8774463582743923,1.4365372926813076,10,0.5019232828713711
Polynomial Regression_f_regression,f_regression,1.533567069019221,1.4826776660129626,-3.3183682692667746,0.9580432870152182,0.989527672220929,3.2863217802820017,0.8888719365862511,0.8707992408461996,2.033217046930333,10,0.4823726359252749
Polynomial Regression_none,none,1.2196526396763168,2.2752414820396263,86.54831777705593,0.8319417936959221,1.3338207475034798,60.32621003182782,0.9297104896562935,0.69575281522542,25.164572954034952,16,0.1159539554468286
